"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
1797,"2013-06-01 00:48:48","2013-06-01 01:18:45",481,"S 3 St & Bedford Ave",40.71260486,-73.96264403,358,"Christopher St & Greenwich St",40.73291553,-74.00711384,19764,"Subscriber",1988,1
277,"2013-06-01 00:49:13","2013-06-01 00:53:50",270,"Adelphi St & Myrtle Ave",40.69308257,-73.97178913,82,"St James Pl & Pearl St",40.71117416,-74.00016545,17637,"Subscriber",1984,1
1181,"2013-06-01 00:49:13","2013-06-01 01:08:54",146,"Hudson St & Reade St",40.71625008,-74.0091059,253,"W 13 St & 5 Ave",40.73543934,-73.99453948,16905,"Subscriber",1966,1
120540,"2013-06-01 00:33:33","2013-06-02 10:02:33",466,"W 25 St & 6 Ave",40.74395411,-73.99144871,515,"W 43 St & 10 Ave",40.76009437,-73.99461843,16685,"Subscriber",1983,1
294,"2013-06-01 00:50:53","2013-06-01 00:55:47",488,"W 39 St & 9 Ave",40.75645824,-73.99372222,480,"W 53 St & 10 Ave",40.76669671,-73.99061728,16339,"Subscriber",1981,1
1086,"2013-06-01 00:48:12","2013-06-01 01:06:18",404,"9 Ave & W 14 St",40.7405826,-74.00550867,152,"Warren St & Church St",40.71473993,-74.00910627,18802,"Subscriber",1966,1
673,"2013-06-01 00:40:23","2013-06-01 00:51:36",447,"8 Ave & W 52 St",40.76370739,-73.9851615,433,"E 13 St & Avenue A",40.72955361,-73.98057249,18318,"Subscriber",1982,1
793,"2013-06-01 00:51:05","2013-06-01 01:04:18",79,"Franklin St & W Broadway",40.71911552,-74.00666661,305,"E 58 St & 3 Ave",40.76095756,-73.96724467,16936,"Customer",NULL,0
1270,"2013-06-01 00:48:01","2013-06-01 01:09:11",362,"Broadway & W 37 St",40.75172632,-73.98753523,349,"Rivington St & Ridge St",40.71850211,-73.98329859,16309,"Subscriber",1979,1
1097,"2013-06-01 00:52:25","2013-06-01 01:10:42",514,"12 Ave & W 40 St",40.76087502,-74.00277668,223,"W 13 St & 7 Ave",40.73781509,-73.99994661,19902,"Subscriber",1986,1
1825,"2013-06-01 00:52:39","2013-06-01 01:23:04",259,"South St & Whitehall St",40.70122128,-74.01234218,539,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116,18952,"Subscriber",1982,1
848,"2013-06-01 00:53:27","2013-06-01 01:07:35",233,"Cadman Plaza W & Pierrepont St",40.69475701363877,-73.99052739143372,418,"Front St & Gold St",40.70224,-73.982578,16284,"Subscriber",1982,2
210,"2013-06-01 00:53:49","2013-06-01 00:57:19",294,"Washington Square E",40.73049393,-73.9957214,380,"W 4 St & 7 Ave S",40.73401143,-74.00293877,17209,"Subscriber",1991,1
917,"2013-06-01 00:53:55","2013-06-01 01:09:12",251,"Mott St & Prince St",40.72317958,-73.99480012,445,"E 10 St & Avenue A",40.72740794,-73.98142006,19289,"Subscriber",1971,1
1179,"2013-06-01 00:54:32","2013-06-01 01:14:11",238,"Bank St & Washington St",40.7361967,-74.00859207,393,"E 5 St & Avenue C",40.72299208,-73.97995466,16696,"Subscriber",1990,1
1717,"2013-06-01 00:55:26","2013-06-01 01:24:03",376,"John St & William St",40.70862144,-74.00722156,482,"W 15 St & 7 Ave",40.73935542,-73.99931783,15995,"Subscriber",1952,1
5648,"2013-06-01 00:55:19","2013-06-01 02:29:27",217,"Old Fulton St",40.70277159,-73.99383605,217,"Old Fulton St",40.70277159,-73.99383605,15613,"Customer",NULL,0
857,"2013-06-01 00:55:50","2013-06-01 01:10:07",461,"E 20 St & 2 Ave",40.73587678,-73.98205027,442,"W 27 St & 7 Ave",40.746647,-73.993915,15259,"Subscriber",1987,1
5607,"2013-06-01 00:55:48","2013-06-01 02:29:15",217,"Old Fulton St",40.70277159,-73.99383605,217,"Old Fulton St",40.70277159,-73.99383605,17275,"Customer",NULL,0
1532,"2013-06-01 00:56:50","2013-06-01 01:22:22",392,"Jay St & Tech Pl",40.695065,-73.987167,448,"W 37 St & 10 Ave",40.75660359,-73.9979009,17507,"Customer",NULL,0
1483,"2013-06-01 00:57:01","2013-06-01 01:21:44",293,"Lafayette St & E 8 St",40.73020660529954,-73.99102628231049,448,"W 37 St & 10 Ave",40.75660359,-73.9979009,20247,"Subscriber",1973,1
2203,"2013-06-01 00:55:47","2013-06-01 01:32:30",405,"Washington St & Gansevoort St",40.739323,-74.008119,150,"E 2 St & Avenue C",40.7208736,-73.98085795,19089,"Subscriber",1983,1
670,"2013-06-01 00:57:47","2013-06-01 01:08:57",459,"W 20 St & 11 Ave",40.746745,-74.007756,470,"W 20 St & 8 Ave",40.74345335,-74.00004031,17080,"Subscriber",1965,1
1460,"2013-06-01 00:58:50","2013-06-01 01:23:10",428,"E 3 St & 1 Ave",40.72467721,-73.98783413,281,"Grand Army Plaza & Central Park S",40.7643971,-73.97371465,19491,"Subscriber",1983,2
888,"2013-06-01 00:59:06","2013-06-01 01:13:54",223,"W 13 St & 7 Ave",40.73781509,-73.99994661,426,"West St & Chambers St",40.71754834,-74.01322069,18466,"Subscriber",1985,2
602,"2013-06-01 00:59:28","2013-06-01 01:09:30",252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,475,"E 15 St & Irving Pl",40.73524276,-73.98758561,18965,"Subscriber",1983,1
607,"2013-06-01 00:59:27","2013-06-01 01:09:34",252,"MacDougal St & Washington Sq",40.73226398,-73.99852205,314,"Cadman Plaza West & Montague St",40.69383,-73.990539,16318,"Subscriber",1983,2
1329,"2013-06-01 01:01:18","2013-06-01 01:23:27",384,"Fulton St & Washington Ave",40.683048,-73.964915,241,"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,17424,"Subscriber",1987,2
